nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,place_id,nama_kelurahan,nama_kecamatan,nama_kota
indomaret,4.3,104,-6.302203,106.7919364,"jl. lb. bulus iii no.40, rt.9/rw.7, cilandak bar., kota jakarta selatan",ChIJaxj8TyDuaS4RmJ8rDkpB2GA,Indomaret,ChIJaxj8TyDuaS4RmJ8rDkpB2GA,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret,0,0,-6.3070032,106.7936899,"10, rt.4/rw.10, pondok labu, south jakarta city",ChIJPz4W5BPvaS4RoUnKBAiaL3o,Indomaret,ChIJPz4W5BPvaS4RoUnKBAiaL3o,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret bdn raya,4.2,66,-6.2793922,106.7984418,"jl. bdn raya no.10, rt.10/rw.11, cilandak bar., kota jakarta selatan",ChIJKZqyypTxaS4RkjwUtyXrkBY,Indomaret,ChIJKZqyypTxaS4RkjwUtyXrkBY,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret,4.7,3,-6.2782231,106.797096,"jl. rs. fatmawati raya no.7, rt.8/rw.6, gandaria sel., kota jakarta selatan",ChIJzVqDlcTxaS4Rwlnqrz5hXbo,Indomaret,ChIJzVqDlcTxaS4Rwlnqrz5hXbo,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
indomaret karang tengah raya,4.3,108,-6.3013439,106.7805495,"bona indah plaza, jl. karang tengah raya no.1, rt.5/rw.4, lb. bulus, kota jakarta selatan",ChIJ7aqqqinuaS4RKy68g0RuyMk,Indomaret,ChIJ7aqqqinuaS4RKy68g0RuyMk,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret,0,0,-6.2910563,106.7949517,"jl. pejaten raya no.19 a, rt.18/rw.2, jati padang, kota jakarta selatan",ChIJZW196Q7xaS4R95E7nWT6Da4,Indomaret,ChIJZW196Q7xaS4R95E7nWT6Da4,Jati Padang,Cilandak,Kota Jakarta Selatan
indomaret spbu terogong,4.8,8,-6.2821542,106.7916131,"jl. terogong raya no.16, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJj-UaO5zxaS4RHGBB4QPZ-0Y,Indomaret,ChIJj-UaO5zxaS4RHGBB4QPZ-0Y,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret spbu simatupang,4.2,22,-6.2928207,106.794356,"pq4v+vph, jl. r.a. kartini, rt.1/rw.4, cilandak bar., kota jakarta selatan",ChIJPd3qm93xaS4Ry_DGnmEAInk,Indomaret,ChIJPd3qm93xaS4Ry_DGnmEAInk,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret golden fatmawati,0,0,-6.2777755,106.7968703,"jl. rs. fatmawati no. 15 ab gandaria selatan cilandak jakarta selatan dki jakarta rt.8, rw.6, gandaria sel., kota jakarta selatan",ChIJSShBVZDxaS4Rte30BlBPAO4,Indomaret,ChIJSShBVZDxaS4Rte30BlBPAO4,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
indomaret fatmawati 26,4.3,6,-6.3043705,106.7951843,"jl. rs. fatmawati raya no.26, rt.1/rw.7, pd. labu, kota jakarta selatan",ChIJ-WTA4iHuaS4RhhDcoecn57U,Indomaret,ChIJ-WTA4iHuaS4RhhDcoecn57U,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret,4.4,26,-6.2962454,106.7892345,"pq3q+gmh, jl. lb. bulus i, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJsbv9uN7xaS4RK2vE-f9VboA,Indomaret,ChIJsbv9uN7xaS4RK2vE-f9VboA,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret minimarket bona indah plaza,4.5,6,-6.3009042,106.7806588,"bona indah plaza no.a2/d3 jl. karang tengah raya, rt.7/rw.6, lb. bulus, kota jakarta selatan",ChIJJesreyjuaS4RF1nrMU1l0JE,Indomaret,ChIJJesreyjuaS4RF1nrMU1l0JE,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret taman cilandak,5,4,-6.2930967,106.7920496,"jl. taman cilandak raya no.9, rt.11/rw.4, cilandak bar., kota jakarta selatan",ChIJv01rArvxaS4RuUFeXimA3zk,Indomaret,ChIJv01rArvxaS4RuUFeXimA3zk,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret bango raya,0,0,-6.3075877,106.8039904,"jl. bango ii no.31, rw.3, pd. labu, kota jakarta selatan",ChIJXTAa0H_vaS4R5_VN2xv2sJA,Indomaret,ChIJXTAa0H_vaS4R5_VN2xv2sJA,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret abu serin,4.5,10,-6.2757433,106.7971777,"jl. abuserin no.5, rt.10/rw.6, gandaria sel., kota jakarta selatan",ChIJXQQSNpTxaS4RsGiRh1Rrct0,Indomaret,ChIJXQQSNpTxaS4RsGiRh1Rrct0,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
indomaret bona indah 2,4.9,15,-6.2963167,106.7891712,"jl. lb. bulus i no.35b, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJF35byhHxaS4RhU4r6frWhIo,Indomaret,ChIJF35byhHxaS4RhU4r6frWhIo,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret fatmawati 20,0,0,-6.2813511,106.7963965,"pq9w+fh2, west cilandak, south jakarta city",ChIJrTZnpp_xaS4RW53IaKnPsIc,Indomaret,ChIJrTZnpp_xaS4RW53IaKnPsIc,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret plus,4.3,229,-6.2963734,106.7948721,"5, jl. rs. fatmawati raya no.35, rt.5/rw.4, cilandak bar., kota jakarta selatan",ChIJd96Hv-DxaS4RHJwKA-4iFZI,Indomaret,ChIJd96Hv-DxaS4RHJwKA-4iFZI,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret pintu barat ragunan (t1y7),0,0,-6.3104305,106.8159192,"14, jl. margasatwa baru no.45, rw.8, jagakarsa, kota jakarta selatan",ChIJwcwxNEXvaS4RiKmoGQ6V0pU,Indomaret,ChIJwcwxNEXvaS4RiKmoGQ6V0pU,Jagakarsa,Cilandak,Kota Jakarta Selatan
indomaret karang tengah 39,4.4,90,-6.3059123,106.7816935,"mqvj+jmp, rt.6/rw.4, lebak bulus, south jakarta city",ChIJraDzUtLvaS4RD7IR82uJtEo,Indomaret,ChIJraDzUtLvaS4RD7IR82uJtEo,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret h. batong,3.9,60,-6.2868579,106.7903161,"jl. h.batong raya rt007/rw006, cilandak barat, cilandak, rt.7/rw.6, west cilandak, south jakarta city",ChIJAQAAAOfxaS4R6wrqsJtf5pk,Indomaret,ChIJAQAAAOfxaS4R6wrqsJtf5pk,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret hybrid lebak bulus/008,4.6,13,-6.3101176,106.780875,"jl. karang tengah raya no.1, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJBwBd3S_uaS4RMBfxWKiy408,Indomaret,ChIJBwBd3S_uaS4RMBfxWKiy408,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret asem 2.,3.8,23,-6.272082,106.8009549,"jl. asem dua no.26, rt.14/rw.5, cipete sel., kota jakarta selatan",ChIJs6y5G5HxaS4RurVX3sajfVU,Indomaret,ChIJs6y5G5HxaS4RurVX3sajfVU,Cipete Selatan,Cilandak,Kota Jakarta Selatan
indomaret berlian ii cilandak,4.5,2,-6.2965402,106.8005802,"pr32+96p, rt.6/rw.2, west cilandak, south jakarta city",ChIJDaAAxvjxaS4RX-J08P1H7ug,Indomaret,ChIJDaAAxvjxaS4RX-J08P1H7ug,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret,2,4,-6.2898389,106.7781069,"jl. r.a. kartini no.49, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJEaTZ42DxaS4R044D9l8J_vQ,Indomaret,ChIJEaTZ42DxaS4R044D9l8J_vQ,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret pinang raya,4.1,147,-6.3081054,106.7981876,"jl. pinang raya no.9, rt.2/rw.9, pd. labu, kota jakarta selatan",ChIJteuioxnuaS4R3u6TiMK2DHc,Indomaret,ChIJteuioxnuaS4R3u6TiMK2DHc,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret bona indah,3.2,5,-6.2974692,106.7824281,"indomaret, jl. lb. bulus i no.23, rt.1/rw.1, lebak bulus, south jakarta city",ChIJ5cZCSA_xaS4RWfbV5rM0sBg,Indomaret,ChIJ5cZCSA_xaS4RWfbV5rM0sBg,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret pondok labu,4.1,52,-6.3109767,106.7934225,"jl. rs fatmawati no.8, rt.7/rw.1, pd. labu, kota jakarta selatan",ChIJuZWfRT3uaS4RPJR0-gix6to,Indomaret,ChIJuZWfRT3uaS4RPJR0-gix6to,Pondok Labu,Cilandak,Kota Jakarta Selatan
post shop indomaret,3,5,-6.2947447,106.795399,"jl. rs. fatmawati raya no.10, rt.1/rw.4, cilandak bar., kota jakarta selatan",ChIJbd1pUOfxaS4Rt-kFPuyDtsk,Indomaret,ChIJbd1pUOfxaS4Rt-kFPuyDtsk,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret h.ipin,4.3,123,-6.3118874,106.7902907,"jl. h. ipin no.11, rw.1, pd. labu, kota jakarta selatan",ChIJWagF6TzuaS4RChibXwRnJgA,Indomaret,ChIJWagF6TzuaS4RChibXwRnJgA,Pondok Labu,Cilandak,Kota Jakarta Selatan
bii atm indomaret bona indah 1,4.3,142,-6.2876105,106.7772803,"jl. lebak bulus 1, cilandak, jakarta selatan, rt.1/rw.1, lebak bulus, south jakarta city",ChIJF9Syud7xaS4RCaXavhh53AA,Indomaret,ChIJF9Syud7xaS4RCaXavhh53AA,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret caringin,4.5,183,-6.2831999,106.7926034,"jl. caringin utara no.32, rw.10, cilandak bar., kota jakarta selatan",ChIJMRDIwMHxaS4RGxUodpMMNq8,Indomaret,ChIJMRDIwMHxaS4RGxUodpMMNq8,Cilandak Barat,Cilandak,Kota Jakarta Selatan
